n+m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
251  3.0000  3.2222  2.8889  2.7778  3.0000  2.6667  3.0000  3.0000
252  3.0000  3.2222  2.5556  2.5556  3.0000  3.2222  2.8889  2.8889
253  2.8889  3.2222  2.7778  3.2222  2.8889  3.2222  2.8889  2.8889
254  3.3750  3.1250  3.1250  2.8750  3.3750  2.8750  2.8750  3.1250
255  3.2500  2.8750  2.8750  3.2500  3.2500  3.2500  3.3750  3.2500
256  3.5000  4.0000  3.0000  3.0000  3.5000  3.1250  2.7500  3.1250
257  3.3750  3.3750  2.8750  3.0000  3.3750  3.7500  3.3750  3.5000
258  3.7500  3.3750  2.8750  3.3750  3.7500  3.1250  3.1250  2.7500
259  3.1250  3.2500  2.8750  3.1250  3.1250  3.3750  3.0000  3.0000
260  3.0000  3.2500  3.1250  3.1250  3.0000  2.7500  3.5000  3.5000
261  3.0000  2.5000  3.0000  3.0000  3.0000  2.8750  2.8750  2.7500
262  3.3750  3.1250  3.1250  2.8750  3.3750  3.0000  2.6250  2.7500
263  3.0000  3.2500  3.0000  3.0000  3.0000  3.3750  2.6250  3.1250
264  3.5000  3.1250  3.0000  3.0000  3.5000  3.2500  2.7500  2.7500
265  2.7500  2.7500  2.6250  2.8750  2.7500  3.0000  3.0000  3.1250
266  3.1250  3.3750  3.0000  2.7500  3.1250  3.3750  2.6250  2.7500
267  3.1250  2.6250  2.8750  2.6250  3.1250  2.7500  2.6250  2.3750
268  3.3750  3.0000  2.8750  2.7500  3.3750  3.3750  2.6250  2.8750
269  2.8750  2.8750  2.8750  2.6250  2.8750  3.1250  2.3750  2.3750
270  2.8750  3.0000  2.7500  2.6250  2.8750  3.1250  2.7500  2.7500
271  2.8750  2.7500  2.8750  2.6250  2.8750  3.0000  2.8750  2.3750
272  3.3750  3.0000  2.7500  2.7500  3.3750  2.3750  2.6250  2.7500
273  2.6250  2.8750  2.7500  2.6250  2.6250  2.7500  2.7500  2.3750
274  2.8750  3.1250  2.5000  2.7500  2.8750  3.1250  2.7500  2.7500
275  2.7500  3.0000  2.7500  2.6250  2.7500  2.6250  2.7500  3.0000
276  2.5000  3.0000  2.6250  2.6250  2.5000  2.5000  2.3750  2.5000
277  3.2857  3.0000  2.5714  2.7143  3.2857  3.1429  3.0000  2.8571
278  3.0000  2.4286  2.4286  2.4286  3.0000  3.0000  2.2857  2.8571
279  3.1429  2.8571  2.8571  2.8571  3.1429  3.0000  2.8571  2.8571
280  2.8571  2.7143  2.8571  3.0000  2.8571  3.1429  3.2857  3.1429
281  3.0000  3.0000  3.0000  3.1429  3.0000  2.7143  3.0000  2.8571
282  3.0000  3.2857  2.4286  2.5714  3.0000  2.4286  2.4286  2.8571
283  2.8571  3.0000  3.1429  3.1429  2.8571  3.0000  2.5714  2.5714
284  3.0000  2.7143  2.5714  2.4286  3.0000  2.5714  2.5714  2.8571
285  3.1429  3.0000  2.2857  2.7143  3.1429  3.0000  2.5714  2.8571
286  3.1429  2.7143  2.4286  2.2857  3.1429  3.0000  2.4286  2.5714
287  2.8571  2.8571  2.5714  2.5714  2.8571  3.4286  2.7143  2.7143
288  2.7143  2.8571  2.7143  2.7143  2.7143  3.0000  2.7143  2.2857
289  2.8571  3.0000  2.1429  2.7143  2.8571  2.5714  2.5714  2.4286
290  2.8571  2.5714  2.7143  2.4286  2.8571  2.7143  2.5714  2.5714
291  3.2857  3.0000  2.4286  2.4286  3.2857  3.1429  2.7143  2.2857
292  2.8571  2.5714  2.2857  2.7143  2.8571  3.1429  2.5714  2.5714
293  2.5714  3.0000  2.7143  2.2857  2.5714  2.4286  2.4286  2.8571
294  2.5714  2.8571  2.5714  2.5714  2.5714  2.7143  2.4286  2.4286
295  2.7143  2.5714  2.8571  2.0000  2.7143  2.5714  2.4286  2.4286
296  2.7143  2.5714  2.4286  2.5714  2.7143  2.5714  2.2857  2.7143
297  2.4286  2.7143  2.4286  2.5714  2.4286  2.7143  2.2857  2.5714
298  2.2857  2.7143  2.4286  2.4286  2.2857  2.8571  2.1429  2.7143
299  2.4286  2.8571  2.4286  2.8571  2.4286  2.4286  2.4286  2.5714
300  2.1429  2.5714  2.4286  2.2857  2.1429  2.4286  2.4286  2.5714
301  3.0000  2.8333  2.6667  2.8333  3.0000  2.8333  2.8333  2.8333
302  3.3333  3.0000  2.8333  3.0000  3.3333  3.0000  2.5000  2.8333
